1.000000,0.137500,0.237500,0.137500,0.175000,0.162500,0.300000,0.175000,0.212500,0.175000,0.137500,0.137500,0.187500,0.212500,0.237500,0.187500,0.212500,0.212500,0.187500,0.112500,0.162500,0.250000,0.175000,0.175000,0.150000,0.225000,0.125000,0.212500,0.187500,0.162500,0.212500,0.162500,0.200000,0.212500,0.187500,0.200000,0.175000,0.212500,0.175000,0.187500,0.175000,0.200000,0.137500,0.137500,0.175000,0.175000,0.187500,0.162500,0.137500,0.175000,0.212500,0.187500,0.175000,0.212500,0.212500,0.212500,0.200000,0.187500,0.225000,0.175000,0.125000,0.212500,0.200000,0.187500,0.262500,0.162500,0.175000,0.225000,0.187500,0.175000,0.162500,0.200000,0.150000,0.162500,0.175000,0.200000,0.150000,0.187500,0.200000,0.137500,0.225000,0.112500,0.225000,0.187500,0.137500
0.137500,1.000000,0.175000,0.200000,0.175000,0.162500,0.200000,0.175000,0.150000,0.175000,0.162500,0.175000,0.187500,0.137500,0.150000,0.175000,0.200000,0.150000,0.150000,0.150000,0.175000,0.137500,0.137500,0.150000,0.237500,0.175000,0.162500,0.175000,0.137500,0.175000,0.162500,0.187500,0.175000,0.162500,0.175000,0.175000,0.125000,0.175000,0.112500,0.150000,0.162500,0.125000,0.187500,0.150000,0.150000,0.187500,0.200000,0.162500,0.200000,0.162500,0.187500,0.112500,0.187500,0.187500,0.187500,0.175000,0.212500,0.162500,0.175000,0.187500,0.137500,0.187500,0.175000,0.175000,0.187500,0.125000,0.175000,0.212500,0.187500,0.137500,0.150000,0.150000,0.112500,0.150000,0.162500,0.187500,0.175000,0.162500,0.125000,0.175000,0.200000,0.200000,0.162500,0.212500,0.162500
0.237500,0.175000,1.000000,0.175000,0.187500,0.225000,0.250000,0.162500,0.175000,0.150000,0.162500,0.237500,0.187500,0.187500,0.150000,0.175000,0.150000,0.150000,0.162500,0.212500,0.175000,0.187500,0.137500,0.162500,0.200000,0.162500,0.200000,0.150000,0.200000,0.137500,0.150000,0.150000,0.225000,0.187500,0.150000,0.187500,0.225000,0.175000,0.200000,0.187500,0.212500,0.187500,0.212500,0.187500,0.162500,0.187500,0.162500,0.175000,0.225000,0.200000,0.175000,0.162500,0.200000,0.162500,0.162500,0.237500,0.187500,0.187500,0.175000,0.162500,0.175000,0.200000,0.175000,0.162500,0.212500,0.175000,0.162500,0.187500,0.225000,0.225000,0.200000,0.187500,0.175000,0.262500,0.187500,0.187500,0.137500,0.175000,0.212500,0.225000,0.200000,0.200000,0.062500,0.175000,0.137500
0.137500,0.200000,0.175000,1.000000,0.225000,0.225000,0.187500,0.162500,0.175000,0.162500,0.125000,0.187500,0.175000,0.150000,0.125000,0.150000,0.212500,0.175000,0.150000,0.187500,0.150000,0.175000,0.225000,0.162500,0.175000,0.162500,0.187500,0.212500,0.162500,0.150000,0.187500,0.137500,0.175000,0.175000,0.175000,0.162500,0.137500,0.175000,0.162500,0.187500,0.162500,0.162500,0.125000,0.150000,0.100000,0.137500,0.200000,0.212500,0.162500,0.187500,0.187500,0.200000,0.162500,0.137500,0.150000,0.137500,0.187500,0.125000,0.187500,0.162500,0.187500,0.150000,0.212500,0.175000,0.175000,0.137500,0.200000,0.187500,0.212500,0.125000,0.162500,0.150000,0.150000,0.200000,0.187500,0.137500,0.187500,0.125000,0.137500,0.137500,0.150000,0.137500,0.112500,0.150000,0.212500
0.175000,0.175000,0.187500,0.225000,1.000000,0.225000,0.225000,0.100000,0.150000,0.162500,0.162500,0.175000,0.150000,0.200000,0.137500,0.150000,0.212500,0.137500,0.175000,0.200000,0.125000,0.212500,0.150000,0.150000,0.187500,0.225000,0.162500,0.212500,0.150000,0.175000,0.137500,0.187500,0.150000,0.137500,0.175000,0.200000,0.175000,0.200000,0.112500,0.175000,0.137500,0.125000,0.150000,0.150000,0.100000,0.187500,0.175000,0.262500,0.162500,0.162500,0.162500,0.162500,0.212500,0.200000,0.112500,0.112500,0.162500,0.212500,0.175000,0.162500,0.212500,0.162500,0.237500,0.100000,0.200000,0.187500,0.100000,0.187500,0.187500,0.125000,0.112500,0.187500,0.187500,0.200000,0.187500,0.150000,0.187500,0.187500,0.100000,0.125000,0.125000,0.150000,0.225000,0.212500,0.162500
0.162500,0.162500,0.225000,0.225000,0.225000,1.000000,0.250000,0.150000,0.187500,0.175000,0.137500,0.200000,0.137500,0.175000,0.187500,0.175000,0.200000,0.137500,0.200000,0.237500,0.175000,0.187500,0.200000,0.175000,0.175000,0.200000,0.200000,0.162500,0.162500,0.137500,0.150000,0.075000,0.162500,0.175000,0.175000,0.225000,0.262500,0.150000,0.125000,0.175000,0.175000,0.200000,0.212500,0.150000,0.175000,0.175000,0.175000,0.200000,0.200000,0.150000,0.175000,0.150000,0.187500,0.137500,0.200000,0.150000,0.175000,0.175000,0.175000,0.175000,0.187500,0.187500,0.187500,0.137500,0.137500,0.225000,0.162500,0.175000,0.112500,0.137500,0.150000,0.200000,0.150000,0.150000,0.175000,0.162500,0.212500,0.200000,0.187500,0.137500,0.137500,0.275000,0.075000,0.175000,0.250000
0.300000,0.200000,0.250000,0.187500,0.225000,0.250000,1.000000,0.175000,0.225000,0.300000,0.175000,0.225000,0.212500,0.237500,0.250000,0.162500,0.187500,0.212500,0.175000,0.212500,0.187500,0.250000,0.175000,0.187500,0.212500,0.150000,0.187500,0.162500,0.162500,0.150000,0.175000,0.200000,0.225000,0.200000,0.200000,0.225000,0.237500,0.225000,0.200000,0.212500,0.200000,0.175000,0.187500,0.112500,0.150000,0.150000,0.187500,0.200000,0.187500,0.187500,0.187500,0.200000,0.175000,0.250000,0.162500,0.200000,0.175000,0.225000,0.187500,0.112500,0.137500,0.237500,0.137500,0.212500,0.175000,0.225000,0.212500,0.200000,0.237500,0.150000,0.150000,0.175000,0.212500,0.225000,0.187500,0.150000,0.237500,0.200000,0.212500,0.150000,0.200000,0.212500,0.187500,0.225000,0.200000
0.175000,0.175000,0.162500,0.162500,0.100000,0.150000,0.175000,1.000000,0.225000,0.187500,0.162500,0.225000,0.162500,0.162500,0.200000,0.150000,0.212500,0.187500,0.125000,0.175000,0.162500,0.162500,0.175000,0.200000,0.162500,0.175000,0.200000,0.200000,0.175000,0.150000,0.237500,0.162500,0.175000,0.100000,0.200000,0.175000,0.187500,0.187500,0.187500,0.125000,0.225000,0.162500,0.162500,0.225000,0.200000,0.175000,0.175000,0.175000,0.200000,0.250000,0.175000,0.187500,0.175000,0.100000,0.187500,0.187500,0.175000,0.225000,0.187500,0.187500,0.162500,0.237500,0.162500,0.125000,0.187500,0.187500,0.175000,0.187500,0.187500,0.200000,0.150000,0.200000,0.212500,0.187500,0.187500,0.162500,0.175000,0.187500,0.175000,0.200000,0.200000,0.150000,0.187500,0.237500,0.137500
0.212500,0.150000,0.175000,0.175000,0.150000,0.187500,0.225000,0.225000,1.000000,0.150000,0.137500,0.162500,0.187500,0.150000,0.175000,0.162500,0.187500,0.187500,0.162500,0.200000,0.187500,0.187500,0.200000,0.200000,0.137500,0.212500,0.162500,0.175000,0.212500,0.225000,0.175000,0.125000,0.200000,0.187500,0.212500,0.187500,0.237500,0.212500,0.150000,0.150000,0.212500,0.200000,0.162500,0.162500,0.175000,0.175000,0.162500,0.225000,0.237500,0.162500,0.187500,0.162500,0.225000,0.225000,0.200000,0.225000,0.187500,0.225000,0.200000,0.225000,0.175000,0.187500,0.175000,0.162500,0.175000,0.200000,0.200000,0.150000,0.225000,0.237500,0.175000,0.212500,0.200000,0.187500,0.125000,0.200000,0.187500,0.187500,0.200000,0.225000,0.187500,0.150000,0.237500,0.225000,0.212500
0.175000,0.175000,0.150000,0.162500,0.162500,0.175000,0.300000,0.187500,0.150000,1.000000,0.175000,0.162500,0.175000,0.212500,0.225000,0.237500,0.187500,0.125000,0.150000,0.125000,0.187500,0.175000,0.137500,0.175000,0.200000,0.175000,0.150000,0.162500,0.175000,0.112500,0.187500,0.200000,0.187500,0.175000,0.137500,0.162500,0.225000,0.112500,0.175000,0.212500,0.150000,0.175000,0.175000,0.187500,0.175000,0.162500,0.137500,0.187500,0.200000,0.125000,0.162500,0.112500,0.187500,0.150000,0.175000,0.175000,0.187500,0.212500,0.200000,0.175000,0.225000,0.187500,0.187500,0.175000,0.200000,0.187500,0.150000,0.112500,0.225000,0.175000,0.150000,0.175000,0.150000,0.212500,0.100000,0.137500,0.162500,0.175000,0.150000,0.287500,0.175000,0.200000,0.125000,0.175000,0.137500
